numero_alimento,descricao,categoria,energia_kcal,proteina_g,lipideos_g,carboidrato_g,fibra_g,base,preparo,qualificadores
1,"Arroz, integral, cozido",Cereais e derivados,123.53,2.59,1,25.81,2.75,Arroz,cozido,integral
2,"Arroz, integral, cru",Cereais e derivados,359.68,7.32,1.86,77.45,4.82,Arroz,cru,integral
3,"Arroz, tipo 1, cozido",Cereais e derivados,128.26,2.52,0.23,28.06,1.56,Arroz,cozido,tipo 1
4,"Arroz, tipo 1, cru",Cereais e derivados,357.79,7.16,0.34,78.76,1.64,Arroz,cru,tipo 1
5,"Arroz, tipo 2, cozido",Cereais e derivados,130.12,2.57,0.36,28.19,1.07,Arroz,cozido,tipo 2
6,"Arroz, tipo 2, cru",Cereais e derivados,358.12,7.24,0.28,78.88,1.72,Arroz,cru,tipo 2
7,"Aveia, flocos, crua",Cereais e derivados,393.82,13.92,8.5,66.64,9.13,Aveia,cru,flocos
8,"Biscoito, doce, maisena",Cereais e derivados,442.82,8.07,11.97,75.23,2.1,Biscoito,,"doce, maisena"
9,"Biscoito, doce, recheado com chocolate",Cereais e derivados,471.82,6.4,19.58,70.55,2.96,Biscoito,,"doce, recheado com chocolate"
10,"Biscoito, doce, recheado com morango",Cereais e derivados,471.17,5.72,19.57,71.01,1.53,Biscoito,,"doce, recheado com morango"
11,"Biscoito, doce, wafer, recheado de chocolate",Cereais e derivados,502.46,5.56,24.67,67.54,1.8,Biscoito,,"doce, wafer, recheado de chocolate"
12,"Biscoito, doce, wafer, recheado de morango",Cereais e derivados,513.45,4.52,26.4,67.35,0.82,Biscoito,,"doce, wafer, recheado de morango"
13,"Biscoito, salgado, cream cracker",Cereais e derivados,431.73,10.06,14.44,68.73,2.51,Biscoito,,"salgado, cream cracker"
14,"Bolo, mistura para",Cereais e derivados,418.63,6.16,6.13,84.71,1.7,Bolo,,mistura para
15,"Bolo, pronto, aipim",Cereais e derivados,323.85,4.42,12.75,47.86,0.69,Bolo,,"pronto, aipim"
16,"Bolo, pronto, chocolate",Cereais e derivados,410.01,6.22,18.47,54.72,1.43,Bolo,,"pronto, chocolate"
17,"Bolo, pronto, coco",Cereais e derivados,333.44,5.67,11.3,52.28,1.05,Bolo,,"pronto, coco"
18,"Bolo, pronto, milho",Cereais e derivados,311.39,4.8,12.41,45.11,0.71,Bolo,,"pronto, milho"
19,"Canjica, branca, crua",Cereais e derivados,357.6,7.2,0.97,78.06,5.5,Canjica,cru,branca
20,"Canjica, com leite integral",Cereais e derivados,112.46,2.36,1.24,23.63,1.22,Canjica,,com leite integral
21,"Cereais, milho, flocos, com sal",Cereais e derivados,369.6,7.29,1.6,80.83,5.29,Cereais,,"milho, flocos, com sal"
22,"Cereais, milho, flocos, sem sal",Cereais e derivados,363.34,6.88,1.18,80.45,1.84,Cereais,,"milho, flocos, sem sal"
23,"Cereais, mingau, milho, infantil",Cereais e derivados,394.43,6.43,1.09,87.27,3.21,Cereais,,"mingau, milho, infantil"
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",Cereais e derivados,381.13,8.9,2.12,81.62,4.98,Cereais,,"mistura para vitamina, trigo, cevada e aveia"
25,"Cereal matinal, milho",Cereais e derivados,365.35,7.16,0.96,83.82,4.12,Cereal matinal,,milho
26,"Cereal matinal, milho, açúcar",Cereais e derivados,376.56,4.74,0.67,88.84,2.11,Cereal matinal,,"milho, açúcar"
27,"Creme de arroz, pó",Cereais e derivados,386,7.03,1.23,83.87,1.07,Creme de arroz,,pó
28,"Creme de milho, pó",Cereais e derivados,333.03,4.82,1.64,86.15,3.72,Creme de milho,,pó
29,"Curau, milho verde",Cereais e derivados,78.43,2.36,1.64,13.94,0.46,Curau,,milho verde
30,"Curau, milho verde, mistura para",Cereais e derivados,402.29,2.22,13.37,79.82,2.52,Curau,,"milho verde, mistura para"
31,"Farinha, de arroz, enriquecida",Cereais e derivados,363.06,1.27,0.3,85.5,0.58,Farinha,,"de arroz, enriquecida"
32,"Farinha, de centeio, integral",Cereais e derivados,335.78,12.52,1.75,73.3,15.48,Farinha,,"de centeio, integral"
33,"Farinha, de milho, amarela",Cereais e derivados,350.59,7.19,1.47,79.08,5.49,Farinha,,"de milho, amarela"
34,"Farinha, de rosca",Cereais e derivados,370.58,11.38,1.46,75.79,4.82,Farinha,,de rosca
